,Company,Date,Trade,Job,Job_Cleaned,Job_Focus,Word_Count,Project_Type,Total_Pay,Pay_Rate_Type,Pay_Rate_in_Dollars,Pay_Rate_Original,Hours_Worked,Avg_Hourly_Pay,How Quickly?,Pay Format,Relationship,Rights,Contract,On-site,Kill Fee,Kill Fee Amount,Overtime,Scope Expansion,Expenses,Reimbursement,Workplace Safety,Pitch Guide,Listed Rates,Grant Funding,Grant Rate,Section,Country,FSP Membership,State,Company Country,Pronouns,Race and/or Ethnicity,Career Level,Age,Experience,Gender Identity,Original_Date,company_names_clean,news_type
64,Astronomy,2021-03-24,Writer,"800 to 1,000 words reporting",800 to 1000 words reporting,writing and reporting,900,article,300,flat,300,300 flat,,,New Job - Still Waiting,Paypal,Network referral,Unsure,Yes,No,"Yes, but the job wasn't killed",30,Did not require overtime,"The angle changed, but it was initiated by me.",Did not require expenses,,,Publicly Available,No,No,,Science,India,No,,US,,South Asian,20-25 years,,Would recommend to others,,2021-03-24,Astronomy,news
65,Atlas Obscura,2019-01-01,Writer,1200-ish word reported article,1200 ish word reported article,writing and reporting,1200,article,435,,0,included about $35 of expenses for meals (article was about food),,,2 weeks or less,Direct Deposit,Pre-existing relationship,1st Rights,Yes,No,"Yes, but the job wasn't killed",,,,Required expenses &amp; I was reimbursed,just invoiced for the amount including the meal expenses that were pre-approved,Was not hazardous,Publicly Available,,,,"International News, Cooking, History",United States,Yes,New York,United States,She/Her,White,5-10 years,38,"Would recommend to others, Story was reported on an international trip; those expenses weren't covered, just the meal. Good editing experience. They also asked me to help secure photo rights (email a company named in the article asking permission).","Cis, Female",2019-01-01,Atlas Obscura,news
66,Atlas Obscura,2019-10-01,Writer,"1050 word article for Gastro Obscura, reported (I went over word count)",1050 word article for gastro obscura reported (i went over word count),writing and reporting,1050,article,420,,0,,,,2 weeks or less,Direct Deposit,Pre-existing relationship,1st Rights,Yes,No,,,,,Did not require expenses,,Was not hazardous,Publicly Available,No,No,,"International News, Cooking, History",United States,Yes,New York,United States,She/Her,White,5-10 years,38,"Would recommend to others, They don't pay a lot but the editing experience was good and the payment was very quick (I think it published on a Thursday and I had the money the following Monday)","Cis, Female",2019-10-01,Atlas Obscura,news
67,Atlas Obscura,2020-03-01,Writer,Reported piece of about 1500 words,reported piece of about 1500 words,writing and reporting,1500,article,600,,0,,,,2 weeks or less,Direct Deposit,Pre-existing relationship,1st Rights,Yes,No,Unsure,,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,Publicly Available,No,No,,History,US,Yes,NY,US,She/Her,White,5-10 years,,"Loved it, Would recommend to others",Female,2020-03-01,Atlas Obscura,news
68,Atlas Obscura,2020-09-01,Writer,800-1000ish word piece with original photographs and a recipe,800 1000ish word piece with original photographs and a recipe,writing and reporting,900,article,700,flat,700,flat rate,,,2 weeks or less,Direct Deposit,"Pre-existing relationship, They reached out to me with an assignment",1st Rights,Yes,No,Unsure,,Did not require overtime,Job did not expand,Required expenses &amp; I was reimbursed,Included receipt with invoice and I was paid out at the same time as the fee.,Was not hazardous,Publicly Available,No,No,,Cooking,USA,Yes,NY,US,She/Her,White,5-10 years,,Loved it,"Female, Cis",2020-09-01,Atlas Obscura,news
69,Atmos,2024-10-01,Writer,1000 words reported,1000 words reported,writing and reporting,1000,article,900,,0,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,2024-10-01,Atmos,news
70,Atmos,2024-03-01,Writer,943 words,943 words,writing and reporting,943,article,471.5,per word,0.5,.50/word,9,52.39,2 weeks or less,Direct Deposit,Cold pitch - I reached out to them,Unsure,Yes,No,Unsure,,,Job did not expand,Did not require expenses,,Was not hazardous,Unsure,Unsure,No,,"International News, National News, Health &amp; Wellness",U.S.,No,NY,U.S.,She/Her,White,5-10 years,29,Loved it,Female,2024-03-01,Atmos,news
71,Atmos,2024-04-01,Writer,"1,500 words, reported",1500 words reported,writing and reporting,1500,article,750,,0,,,,2 weeks or less,Direct Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,Atmos,news
72,Atmos,2021-01-05,Writer,1500 words reporting,1500 words reporting,writing and reporting,1500,article,1599,per word,1,$1 a word for print,,,2 weeks or less,bill.com,Cold pitch - I reached out to them,1st Rights,Yes,,"Yes, but the job wasn't killed",750,,,,,,No,No,,,"Health &amp; Wellness, Travel",,Yes,,,,,,,,,2021-01-05,Atmos,news
73,Atmos,2021-01-05,Writer,"1,500 words reporting",1500 words reporting,writing and reporting,1500,article,1500,per word,1,$1 a word,,,New Job - Still Waiting,Haven't been paid yet,Cold pitch - I reached out to them,1st Rights,Yes,No,"Yes, but the job wasn't killed",750,Did not require overtime,Job expanded &amp; I wasn't compensated,"Required reporting expenses, but didn't pitch prior to travel",,"Was not hazardous, Did not receive hazard pay, Hazard pay was not required",No,No,No,,"Health &amp; Wellness, Travel",United States,Yes,Louisiana,,She/Her,White,0-5 years,26,Would recommend to others,"Cis, Female",2021-01-05,Atmos,news
74,Audubon,2021-05-03,Writer,"1,200 word reported news story",1200 word reported news story,writing and reporting,1200,article,600,,0,,,,New Job - Still Waiting,Direct Deposit,Cold pitch - I reached out to them,1st Rights,Yes,No,"Yes, but the job wasn't killed",150,Unsure,Unsure,Did not require expenses,,Was not hazardous,No,No,No,,National News,United States,No,HI,NY,She/Her,"Jewish, White",10-15 years,35,Loved it,Female,2021-05-03,Audubon,ambiguous
75,Audubon Magazine,2024-09-18,Writer,800-1000 words reporting,800 1000 words reporting,writing and reporting,900,article,645,per word,0.5,50 cents per published word,30,21.5,New Job - Still Waiting,Direct Deposit,Cold pitch - I reached out to them,1st Rights,Yes,No,Unsure,,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,Publicly Available,No,No,,Science,USA,No,Massachusetts,USA,She/Her,White,5-10 years,32,Would recommend to others,Female,2024-09-18,Audubon,ambiguous
76,Audubon Magazine,2024-05-23,Writer,700 words reporting,700 words reporting,writing and reporting,700,article,1050,per word,1.5,$1.50 per word,,,3 months,Direct Deposit,"No pre-existing relationship, They reached out to me with an assignment",1st Rights,Yes,No,"Yes, but the job wasn't killed",262.5,Did not require overtime,Job did not expand,Required expenses &amp; I was reimbursed,Terrible -- Reimbursement took three months. Writer filed a complaint to NYC Dept of Worker and Consumer Rights for the violation of the 30-day payment period required by law.,Was not hazardous,No,No,Unsure,,"National News, Science",USA,Yes,FL / NY,USA,She/Her,White,0-5 years,24,Would not recommend to others,"Cis, Female",2024-05-23,Audubon,ambiguous
77,Autoblog,2019-01-01,Writer,"1,750-word profile of a team, covered at a major event.",1750 word profile of a team covered at a major event.,writing and reporting,1750,article,650,per article,650,$650/piece,,,6 weeks,Direct Deposit,"Pre-existing relationship, They reached out to me with an assignment, Network referral",Unsure,Yes,Yes,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Required expenses &amp; I wasn't reimbursed,,Hazard pay was not required,Unsure,No,No,,"Sports, Automotive",United States,No,Texas,United States,She/Her,White,5-10 years,34,"Loved it, Would recommend to others","Cis, Female",2019-01-01,Autoblog,news
78,Autoblog,2018-11-01,Writer,"1,750-word pickup review.",1750 word pickup review.,writing and reporting,1750,review,650,per article,650,$650/piece,,,30 days,Direct Deposit,"Cold pitch - I reached out to them, Network referral",Unsure,Yes,No,Unsure,,Did not require overtime,Job did not expand,Required expenses &amp; I wasn't reimbursed,,Hazard pay was not required,Unsure,No,No,,"Sports, Entertainment, Technology, Travel, Automotive (primary genre, although it was a review centered around a travel destination/race track)",United States,No,Texas,United States,She/Her,White,5-10 years,34,"Loved it, Would recommend to others","Cis, Female",2018-11-01,Autoblog,news
79,AutoGuide,2019-12-13,Writer,"2,000-word review of a new car based on a first-drive preview event.",2000 word review of a new car based on a first drive preview event.,writing and reporting,2000,review,250,per article,250,$250 per piece,,,30 days,Direct Deposit,Network referral,Unsure,Yes,Yes,Unsure,,Did not require overtime,Job did not expand,Required expenses &amp; I wasn't reimbursed,,"Was not hazardous, Hazard pay was not required",Unsure,Unsure,No,,"Technology, Automotive ",United States,No,Texas,Canada,She/Her,White,5-10 years,34,"Loved it, Would recommend to others","Cis, Female",2019-12-13,Autoguide,news
80,Autolist,2020-10-10,Writer,800-word article,800 word article,writing and reporting,800,article,65,per article,65,$65/article,,,2 weeks or less,Paypal,Pre-existing relationship,Unsure,Yes,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,"Was not hazardous, Hazard pay was not required",No,No,No,,Travel,USA,No,CA,USA,He/His,"Jewish, White",0-5 years,32,Would recommend to others,"Cis, Male",2020-10-10,Autolist,ambiguous
81,avast,2019-01-01,Designer,website and illustrations,website and illustrations,graphics/design,,graphics,20000,per hour,150,150/hr,,,2 months,Check by mail,Network referral,Work For Hire,No,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Required expenses &amp; I was reimbursed,invoice,Was not hazardous,No,No,Unsure,,Technology,united states,No,california,czech republic,She/Her,"East Asian, White, White Passing",20-25 years,42,Loved it,Female,2019-01-01,Avast,not_news
82,Bandcamp,2024-01-01,"Editor, Writer",Monthly music column on new albums,monthly music column on new albums,writing and reporting,,article,500,,0,,12,41.67,30 days,Direct Deposit,Pre-existing relationship,Unsure,Yes,No,"Yes, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,No,No,No,,Entertainment,us,Yes,IL,us,She/Her,White,10-15 years,39,Whatevs,"Cis, Female",2024-01-01,Bandcamp,ambiguous
83,Bandcamp,2022-07-23,Writer,Album of the Day,album of the day,writing and reporting,450,other,160,,0,400-500 words,,,30 days,Paypal,Pre-existing relationship,Work For Hire,Yes,No,Unsure,,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,No,No,No,,Health &amp; Wellness,USA,No,Illinois,USA,She/Her,White,0-5 years,35,Would recommend to others,"Cis, Female",2022-07-23,Bandcamp,ambiguous
84,Barn Raiser,2024-06-01,Writer,"1,000 words reporting",1000 words reporting,writing and reporting,1000,article,500,,0,,15,33.33,Over 3 months,Zelle,Cold pitch - I reached out to them,Work For Hire,No,No,Unsure,,Did not require overtime,Job did not expand,Required expenses &amp; I was reimbursed,,Was not hazardous,Publicly Available,No,No,,National News,United States,Yes,IL,United States,She/Her,White,15-20 years,68,Whatevs,Female,2024-06-01,Barn Raiser,news
85,BBC,2025-01-13,Writer,"1400 word reported feature, quick turnaround",1400 word reported feature quick turnaround,writing and reporting,1400,feature,835,,0,,15,55.67,New Job - Still Waiting,wire transfer,They reached out to me with an assignment,Unsure,Verbal or ‘handshake’ agreement,No,"No, but the job wasn't killed",,,Job did not expand,Did not require expenses,,Was not hazardous,No,No,No,,"International News, Science",US,No,MI,UK,She/Her,White,5-10 years,47,"Liked them, but rates are low",Female,2025-01-13,BBC,news
86,BBC,2020-11-15,Writer,1200 words reporting,1200 words reporting,writing and reporting,1200,article,600,,0,,,,New Job - Still Waiting,Direct Deposit,Pre-existing relationship,Work For Hire,Yes,No,Unsure,,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,Publicly Available,Publicly Available,No,,International News,France,No,,UK/US,She/Her,White,10-15 years,33,Loved it,Female,2020-11-15,BBC,news
87,BBC Studios,2020-01-01,"Designer, Illustrator",Podcast cover image and online marketing image,podcast cover image and online marketing image,graphics/design,,graphics,340,flat,340,340 for full job,,,6 weeks,Direct Deposit,They reached out to me with an assignment,Work For Hire,Verbal or ‘handshake’ agreement,No,"No, but the job wasn't killed",,Required overtime &amp; I wasn't compensated,Job expanded &amp; I wasn't compensated,Did not require expenses,,Was not hazardous,Unsure,No,No,,Entertainment,United Kingdom,No,,United Kingdom,She/Her,White,0-5 years,26,Hated it,"Female, Nonbinary",2020-01-01,BBC,not_news
88,Beer &amp; Weed Magazine,2022-01-23,,single-book review,single book review,writing and reporting,,review,250,per word,0.33,$250 for 750 words,15,16.67,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,2022-01-23,Beer & Weed Magazine,ambiguous
89,Believer,2021-01-01,Writer,multi-book review,multi book review,writing and reporting,,review,200,,0,,,,Over 3 months,Direct Deposit,Cold pitch - I reached out to them,,Yes,,Unsure,200,Required overtime &amp; I wasn't compensated,Job expanded &amp; I wasn't compensated,,,,No,,,,,U.S.,,,,,White,Prefer not to say,,"Would not recommend to others, piece never formally killed, editor just ghosted, but full pay for the (unpublished) piece came through",Male,2021-01-01,The Believer,news
90,Believer,2020-06-18,Writer,Critical essay,critical essay,writing and reporting,,essay,300,,0,,,,Over 3 months,Direct Deposit,They asked me to pitch,1st Rights,Yes,No,"Yes, but the job wasn't killed",75,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,Unsure,No,Yes,,Entertainment,US,Yes,NY,US,She/Her,"Jewish, White",10-15 years,36,Would recommend to others,Female,2020-06-18,The Believer,news
91,"Best Version Media, Brookfield, Wisconsin",2020-08-01,"Copy Editor, Editor, Writer",Content Coordinator for a monthly print magazine,content coordinator for a monthly print magazine,editing,,other,500,per month,500,$500 per monthly issue,50,10,30 days,Direct Deposit,No pre-existing relationship,Unsure,Yes,No,Unsure,,Did not require overtime,Job expanded &amp; I wasn't compensated,Required expenses &amp; I wasn't reimbursed,,Was not hazardous,Unsure,No,No,,"Local News, Branded/Sponsored Content",U.S.,No,Iowa,U.S.,She/Her,,25 &amp; up,,Would recommend to others,Female,2020-08-01,Best Version Media,not_news
92,betterpet,2021-04-01,Writer,"1,500 story no reporting",1500 story no reporting,writing and reporting,1500,article,150,,0,,,,30 days,Direct Deposit,They reached out to me with an assignment,,Yes,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,,,,,,,,,,,,,,,Loved it,,2021-04-01,BetterPet,not_news
93,BioSpace,2024-01-10,Writer,800-1000 word reporting,800 1000 word reporting,writing and reporting,900,article,300,flat,300,$300 flat rate,,,30 days,Direct Deposit,"Pre-existing relationship, They reached out to me with an assignment",Work For Hire,Yes,No,"Yes, but the job wasn't killed",150,"I don't have set hours, but I spent over a month on the assignment.",Job did not expand,Did not require expenses,,Was not hazardous,Unsure,Unsure,No,,"Science, policy, business news",USA,,Virginia,USA,She/Her,Black,0-5 years,23,it's fine,"Cis, Female",2024-01-10,BioSpace,news
